,username,full_text
45,ikn_merdeka,Pemerintah akan hadir dan terus mengawal program makan siang gratis agar merata dan tepat sasaran
46,ikn_merdeka,Mantap semoga dengan adanya program ini anak anak indonesia akan semakin kuat
47,ikn_merdeka,Fakta yang harus kita ketahui bersama agar kita bisa mengikuti program ini denga baik dan merata
48,love_kadrun,Target penyelesaian tak disebut selalu ada kata mudahmudahan Ini menandakan tak yakin dan tak jelas kepastian program mereka membangun pusat riset di IKN begitu juga university2 lainnya
49,vivo_1819,ayo buktikan jngan bilang ngawur PKS jg bnyak ngasal bilang gk setuju kalau program makan gratis dananya dari dana BOS gk setuju IKN pokoknya asal beda
50,bogreks,Kalo ini benar sekali bu dokter Program rezim jokowi soal IKN memang sebuah program rahasia yg di paksakan Tujuannya dan ending dari di bangunnya IKN blm jelas dan akankah bisa dirasakan oleh rakyat sampe hari ini blm ada dari pihak pemerintah rezim yg bisa jelaskan
51,liamjustiman,Iya malah sekarang ada pengembang besar ngebebasin pajak bphtb utk konsumen program pemerintah sebagai kompensasi karena mereka ikut ngedevelop IKN
52,rudyno1,sy yakin baca ga visi misi masing2 paslon jkw maupun bowo 2014 dan 2019 Tidk pernah ada pindah ibukota dalam visi misi jkwmalah ada di prabowo Jadi masi mikir IKN direncanakan dg matang oleh jkwi nope Ini program bagian deal2an ketika prabowo gabung jkwi
53,seatodaynews,OIKN Gelar Program Friday English Fun untuk Pelajar SD di sekitar Wilayah IKN
54,Malawi_Thom,IKN aja sudah ngundang singapura utk tinggal di sana jakarta mau diambil alih supaya program reklamasinya bisa lanjut utk rakyat cina ya siap2 aja warga indonesia asli hilang diganti asing
55,GatraMediaGroup,PrabowoGibran siap melanjutkan program berbiaya besar warisan pemerintahan Jokowi sekaligus merencanakan program baru yang juga menguras APBN Mulai dari melanjutkan IKN hingga pembukaan ratusan fakultas kedokteran baru
56,GatraMediaGroup,Dengan kata lain semua aspek diniatkan sejalan dengan target kabinet yang masih memerintah saat ini Melanjutkan pembangunan IKN memang tertera sebagai satu dari 17 program prioritas paslon nomor urut dua
57,basudewadikara,Kalau dipikirpikir program pengembangan 40 kota itu bagus lho uang yg digunakan bangun IKN bisa dialihkan untuk membangun kota kota besar lainnya dg fasilitas yg lengkap dikota kota yg dibangun
58,YOUR_NlGHTMARE,dulu gue pernah ya bikin essay program 100 hari presiden itu Indonesia Poros Maritim Dunia kesampaian kagak sih Eh malah bikin IKN semoga aja yg seneng satu negara tanpa harus menindas rakyat kecil Oh iya katanya presiden itu dulunya rakyat kecil makanya semenamena skrg
59,ikn_merdeka,Banyak hal yang dapat memberikan efek baik dari program makan siang gartis ini mkanya sangat betul jika memberikan efek domino baik bagi mqsyarakat
60,ikn_merdeka,Program yang sangat di nanti oleh semuanya dan pastinya akan bermanfaat bagi penghasil bahan pokok lokal nya masing masing
61,ThobibSadad8,IKN program Pemerataan Lanjutkan Asing Asengbukan alasan
62,BGeldob99076,Tuk warga IKN selamat menikmati program berkelanjutansengsara
63,midlaner_evos,anya ini benarbenar bodoh dan keras kepala negara kita ini negara miskin mbak duit darimana ngadain program 400TTahun belum lagi program ikn sampai 500T mau ngutang lagi mau naikin pajak mau cabut subsidi mau pakai dana bos mikir bodoh mikir
64,fadhilm842,Tetap tidak lupa tragedi 5 Januari 2022 semoga malingnya dapet program makan siang gratis dapet kerjaan di proyek IKN tumbal
65,rizkira_fauzia,Nahh kalau itu mah Pola pikir org yg Sempit Jdi keuangan Indonesia ituharus dihentikan yg Mana terdapat HUTANG Menghutang ke Negara Luar IKN inilah yg Digadang Akn Memakan Hutang Besar ke Negara Luar Dan Penghentian Program lain yg tdk Masuk di Akal
66,rizkira_fauzia,1 kemungkinan Perusahaan yg mau Invest ke dalam Program IKN Itu Wajibbbbb tanda Tanya Krn apa krn dapat mengancam Ekonomi perusahaanny sndri 1 kemungkinan mereka mau Mungkin Ada Nilai Tukar Dari Warisan Indonesia yg Mana akan dia Pegang Kali
67,cyberprim,Kirain bang hotman ngerti arti dari keberlanjutan Artinya program yg ada skrg berlanjut IKN lanjut amp whoosh hrs terus jalan Nah kenaikan pajak ini buat bayar IKN amp operasional whoosh Gitu kira2 bang Dari pd pusing2 mending Ok Gas Ok Gas All in Jogetin aja
68,SerencengKopi,Udah gue duga pasti bakal terjadi Logika aja lah gimana caranya supaya menjalankan semua program prabowo pasti dgn menambah pendapatan negara Makan siang gratis lanjut ikn susu gratis ptn gratis anak buruh gratis kuliah dsb
69,rizkiaan25,Ya akhirnya ngorbanin sesuatu yg fundamental yaitu pendidikan belum lagi ada IKN yg juga membutuhkan dana fantastis Ya semua berharap yg terbaik tapi kok program yg memakan dana fantastis gini kaya asal diucapkan tanpa dikaji secara matang
70,saniapasti,Ya bahas lah dulu kalo maksi itu program yg perfect banget sesuai sudut pandang lu dengan data bahas itu masalah penggusuran rumah2 di IKN dgn data jg ngapain nyamber kalah ya kalah aja cuma mentok 24 jelas sejak awal lu itu langsung ngebahas di luar konteks
71,shasimi99,Sebenernya udah dr bbrp thn terakhir kalo kata org2 dinas apalagi pas IKN sama whoossh di UP makin seret uang2 buat program ke lapangannya
72,fishmoker,mbake program utama macam makan siang sama proyek ikn tuh butuh anggaran gede banget belom kalo food estate tetep jalan belom lagi program lain sementara apbn per tahun terbatas gimana caranya program bisa jalan semua nah lu pikir sendiri dah
73,Sutikno083,Selamat menikmati keberlanjutan yg ingin program IKN nya tetap berlanjut silahkan selamat menikmati kelakuan rezim yg sewenangwenang trhadap rakyat nya
74,aguto_kun,Maksudnya mendukung program pembangunan IKN Wah parah ini
75,Enigmabiru,Karena IKN program untuk penguasa bukan untuk rakyat
76,Enigmabiru,Aku bukannya menolak IKN Tp menurutku IKN bagusnya jd program jangka panjang yg gak harus sekali jadi karena anggarannya nguras APBN belum lagi data investasi dirahasiakan Ada banyak masalah krusial lain yg butuh perhatian yg jadinya diabaikan karna dana masuk kesana semua
77,Purplewithyell1,Alasan pilih Anies 1 Butuh pemimpin yg kalo ngomong gak ngasal 2 Anies buka ruang diskusi dgn rakyat 3 Mau perubahan gak setuju dengan IKN yang untuk kalangan elit tapi dibuat pake pajak Negara 4 Gua yakin meski ngusung perubahan program kayak KIP dan BPJS gak bakal hilang
78,Alfatih1826,Di panajam 02 dua menang telak itu artinya mereka mau melanjutkan program ikn
79,IchwanEwon,Rakyat dah memilih Capres yg melanjutkan Jika saja 01 Menang seduai program 100harinya selain langsung membentuk tim kajian harga sembako IKN di evaluasi Skrg mah tinggal tetesin air mata jd penyaksi keberlanjutan
80,lovincyellow,Nah ini masyarakat uda terlanjur kemakan omongan kalo ga pilih 02 nanti bansos hilang ikn ga jalan dll Padahal paslon lain pasti ada program bansos Pak anies juga ga nolak ikn karna IKN uda ada UU nya justru pak anies ingin mengkaji ulang IKN n Food estate biar pengambilan
81,merseysideliv,Liat aja beberapa tahun kedepan mau ga mau pasti orang jawa lg yg mengisi IKN Krn jawa udah overpopulation tp juga kualitas SDM nya timpang jd yg biasanya berkualitas ya ambil dari Jawa Tp udah tau begini malah pilih program makan siang gratis dibanding pemerataan pendidikan
82,HuseinShelly,Udah panik atau gmana ya Semakin kesini mainnya makin kasar dan blakan Maksain program makan siang sdh sjk awal putuskan ppn naik Ngasih lencana jendKehormatan tp ga sesuai persyaratan mantu di sawer gelar kehormatan n jd caleg daerah IKN digeber
83,periorgat,Wah program pemerataan yg nyata Bangunannya tapi yg diratakan Warga bkalan ngrasain efek IKN bener diberi efek
84,Ririfallinyou,DAN RASIS YOU SAID JAWIR JAWA IRENG AWOKAWOK GUE JAWA TPI GUE GK ITEM disekitar gue jarang item bjir sawo matang iya ada Lo gk bisa bedain sawo matang sma item ya RASIS tpi jadiin dasar program sampah ikn sebagai bahan rasis ewh
85,Ririfallinyou,Wkwkwk siapa yg berisik pulau lain dibangun OH ikn ikn mah karena itu program yg gk ada keutamaannya Gue gpp kok klo luar jawa dibangun tapi ya pendidikannya byk diluar jawa yg pendidikannya masih jauh dri kata layak dan gue berharao bkn cuma di kalimantan tapi yg lain juga
86,majapaheet,IKN ini cuma buat memfasilitasi dan entertain elit aja kalian yg miskin kere hore mauu aja dukung program memanjakan elit seperti ini wkwkwk
87,kopiairhujan08,200 warga Pemaluan d beri ultimatum sgera robohkan rumah krena masuk kawasn inti IKN Dan Pemprov tak tau menahu 9 wrganya ditangkp Polisi krena menolak serahkan lahan tuk Bandara IKN Program Melanjutkan dgn slogan Oke gas Oke gasss Lahan mu aku gas Negri Oh Ngeri
88,dm_4bby,melalui implementasi program makan siang gratis dedi mulyadi menunjukkan visinya untuk mewujudkan perubahan positif dalam perekonomian nasional
89,dm_4bby,dengan mendorong konsumsi lokal program ini dapat memberikan dorongan signifikan bagi para produsen lokal
90,blueiscolor23,Sudah tau beban negara kedepan itu banyak seperti halnya pembangunan ikn dan alutsista yang membutuhkan biaya besar Kenapa malah membuat program yang nilai biaya nya itu hampir sama dengan pembangunan ikn
91,revolutia,Kalau negara memang punya duit buat program makan siang gratis maka bangun IKN cukup setahun beres gak perlu bangun cicilcicil kayak sekarang
92,revolutia,Biaya bangun IKN hingga rampung itu 466 triliun Biaya program makan siang gratis selama setahun itu 450 triliun Setahun lho ya Kan jadi program rutin Jadi ya dibayangkan saja ya
93,publikpisang,Gw kira komunitas lelaki tanpa KEMALUAN ingkari kelamin banci hanya ada di Thailand ternyata komunitas ini jg bnyak ada berkumpul di belakang program IKN
94,RezaArinanda48,IKN bisa malakin oligarki dan ini program berkelanjutan harusnya ada possnya tersendiri Alutsita juga harusnya tinggal refocusing ajja Memilah yang prioritas Makan siang gratis dari naikin Pajak atau biaya lain Diawali dengan ppn dari 11 naik ke 12
95,trisanpratama,Wkwkwk program IKN Soekarno ga gini konsep nya Jadi udah bukan modelan sila ke 5 pak malah lebih ke proyek nyari duit antar elit aja
96,luxurltm,Program yg lain terlalu nekenin ke hilirisasi industri dan IKN yg dampaknya belum inklusif ke masyarakat luas Udh di sampein berkali2 tp anjir buzzer wowo banyak bener pake narasi yg sama Plus makan siang gratis loolllll program ga guna itu
97,Rahadi240987455,Bandingkan dengan program 100 hari jika insya Allah pak Anies jadi RI yang pro rakyat 1 Menurunkan harga kebutuhan pokok 2 Kebijakan pupuk yg murah dan pasokan tersedia 3 Mengembalikan marwah KPK 4 Kajian atas IKN amp Food estate
98,prodygeer,gue kira ini tahun percobaan Tahun2 sebelumnya semua capres kasih program yang masih bisa ditimbang bagusnya Tahun ini program megaproyek mercusuar IKN tax ratio di atas ratarata blackhole anggaran makan siang gratis dan tetep menang
99,eveukyy,ikn yang harusnya gaboleh ganggu warga lokal ni program dibangun buat siapa si
100,teoeely,baru bacabaca tentang pemilu di quora ternyata banyak Jokowi garis keras pantes aja 01 digoreng disitu gw nemu orang yg milih genap karena food estate like terus juga karena dia pro IKN soalnya rumahnya lagi dibangun disana bawabawa desak anies yg mana itu program
101,Rahadi240987455,Bandingkan dengan program 100 hari jika insya Allah pak Anies menjadi RI1 1 Menurunkan harga kebutuhan pokok 2 Kebijakan pupuk yg murah dan pasokan tersedia 3 Mengembalikan marwah KPK 4 Kajian atas IKN amp Food estate
102,Rahadi240987455,Bandingkan dengan ini otak yg tidak stunting paham Program 100 hari jika insya Allah Anies menjadi RI1 1 Menurunkan harga kebutuhan pokok 2 Kebijakan pupuk yg murah dan pasokan tersedia 3 Mengembalikan marwah KPK 4 Kajian atas IKN amp Food estate
103,geol_anda02,Hanya karena tidak suka sma jokowi program nyata IKN untuk pemerataan pembangunan saja dianggap Salah
104,Boediantar4,Program 100 hari jika insya Allah Anies menjadi RI1 1 Menurunkan harga kebutuhan pokok 2 Kebijakan pupuk yg murah dan pasokan tersedia 3 Mengembalikan marwah KPK 4 Kajian atas IKN amp FE MANTAB kan Tapi kok malah ada yg seneng MAKAN GRATIS Atau ada yg gerah dg no 3 amp 4
105,SingtoPonytail,IKN sama kereta cepat kan sama2 program yg penyembahnya Anies anti banget
106,glock20xx,Maka dari itulah program wamil sangat cocok untuk generasi muda gabut no lifedrpd tawuran dan nongkrong gak jelas buang2 waktu lebih baik diangkut semua bawa ke ikn buat wamil
107,OligarkiBangs4t,Sekalian bilang sama bahwa dia hanya melanjutkan program SBYkecuali NGUTANG DAN IKN JELAS YA MANUSIA TOLOL IQ 78
108,gombang,Demi program makan siang gratis dan ikn
109,ariq_muafan,Toh juga GanjarMahfud sebenarnya masih mau lanjutin program Jokowi termasuk IKN Cuma kena framing pendukung PrabowoGibran krn mengkritik manuver Jokowi yang melenceng dr partainya
110,RadioElshinta,64 Universitas 98 Program Studi Dalam Asosiasi Sekolah Perencanaan Indonesia Turut Kawal Konsep Pembangunan Ibu Kota Nusantara Fondasi perencanaan pembangunan di Nusantara dikukuhkan dengan penandatanganan nota kesepahaman antara Otorita Ibu Kota Nusantara IKN dan Asosiasi
111,GantianY,Kalo IKN batal atau program makan siang tidak ada ya kenaikan pajak bisa dihentikan
112,julyap1995,Malah program ini dan makan gratis yg disenangi pendukungnya kak katanya pengen negara maju makanya perlu ada hilirisasi katanya jg harus ada pemerataan makanya bangun IKN hahaha sering bgt jujur nemu komen begini di IG
113,Minnnjaeeeminnn,Buat apa lu begituu Gue cuma suka program nya pak Jokowi tentang ikn aja mau Prabowo atau Anis bahkan Ganjar yg menang yg penting ikn tetep lanjut ajaa itu mah salahh org yg bolehin Gibran naik jadi cawapres siapa Ketua pdi kan
114,VIDIGARIBALDI1,Bangun IKN program maksisusu gratis udah dibahasmending duitnya buat beasiswa subsidi pupuk dll yg lebih berguna
115,AndhanaTriani,Program unggulannya bangun IKN baru program makan siang gratis dan menaikkan gaji pejabat Prediksi anggaran makan siang gratis saja 400 triliun per tahun Rumah dinas pejabat di IKN juga mewah Sekalipun pendapatan negara naik nggak cukup u membiayai program2 itu
116,akubukanako,Demi proyek Infrastruktur terutama IKN ditambah dgn program makan gratisnya prabowo
117,AndhanaTriani,Sudah dimulai Yang masih bertanya2 kenapa dinaikkan karena negara butuh dana buat bangun IKN baru menjalankan program makan siang gratis menaikkan gaji pejabat amp membayar bunga hutang Siap2 saja ini baru permulaan
118,kalkunjava,Uji cobanya bagus Yg terpenting pemerataan program makan siang gratis se Indonesia dan harus tepat sasaran Ingat ikn juga butuh biaya banyak
119,IDNTimesJateng,64 Universitas dan 98 Program Studi di ASPI Ikut Kawal Pembangunan IKN
120,bakbukman,Ya program Ahok yg tinggal program ga pernah dijalankan sbgmn style Jokowi Ahok saat itu IKN juga programnya Belanda dari Utara ke pusat Soekarna juga bikin program pindah ke Kalimantan tanpa membagi bagi tanah negara dan rakyat pada segelintir oligarki penyandang dana
121,Ikhwan45134577,Hhhhhhhhhhh 9thn koar tentang program jokwe termasuk IKN tiba melemlempem setelah dapat jabatan ternyata pamgakat uang dan jabatan emang segala nya bagi yg membutuhkan
122,RompalMat50697,IKN ADALAH PROGRAM PKI SEJAK TH 1955
123,hutbene,Ya Iyalah Mega saja ketika jadi presiden ga lanjutkan program bapaknya dulu Memang harus ada ide baru sesuai perkembangan zaman tapi yang perlu dilanjutkan seperti IKN perlu dilanjutkan
124,rollingwoles,Kebayang kalo program pemerintah masukin konser taylor swift tiap semester tiap triwulan gantian antara rihana dan coldplay Menjelang pemilu 2029 semua artis amerika datang di IKN bikin konser akbar menyambut kedatangan capres dan cawapres di KPU
125,yoshuaadi_,Bener IKN Kereta Cepat Food Estate Program awur awuran
126,Chronicia,Lu masih gk paham ya dari dulu Jokowi itu program nya fokus pembangunan misal ikn jalan tol kereta cepat mereka gk fokus ke peningkatan SDM look at bigger picture gw gk ngomongin kebijakan heru gw ngomongin kebijakan Jokowi yg mau dilanjutin prabowo
127,RetTwo98456,Ku pikir org2 x ni pinter2 ternyata yg pd balesin ga beda jauh sama sumbu pendeknya mau nyengir tapi kok males pdhl sdh jelas hline beritanya 4 program ikn didanai amrik dan berapa besarnya Cuma 31M dibanding dana nyapres nya aja ga ada setengahnya 4 program apa ga dicari
128,Knowyourenemyz,Harus makan harus makan kata capres Prabowo artinja ms kelaparan gmn bs nikah Padahal si Prabowo katanja nerusin si kowi kenapa Prabowo canang program makan Artinja kemajuan kowi masih di Dan kawasan scbd menteng amp IKN buat sp Byk tuh rumah 385 M di Jakarta
129,Jhon92850351,Ide dan program Anis lebih ungul dan di contoh sumuresapan di pake di IKNmakan gratis sudah di jalankan di DKIIndonesia mengajar sudah di jalankan
130,adypiliang,Waduh Klu KPK lembaga yg menangani korupsi sdh bilang 5 15 Fee proyek pemerintah sesuatu yg lazim maka tak heran di atas sana berjuang mati2an mendukung Program makan siang Gratis 450 Tthn Proyek IKN 400 T Proyek Cuan ini ngga mungkin juga fee 5 memang makelar tnh
131,RepelitaO,4 Program IKN Ini Didanai Oleh Amerika Serikat Apa Saja Ya
132,MuslihZaenal,Tidak salah dengan politik kita yang nonblok agak salah jika Amerika ikut campur banyak dalam program pembangunan IKN Jangan sampai ada istilah ekspansi berkelok bantuan luarnegeri
133,czxtrem,Giliran untuk masyarakat aja penghematan giliran untuk pejabat ok gas lu liat itu program makan siang gratis dananya dari potong sana sini malahan ada wacana dari bos eh pas IKN HGU 180 tahun tax holiday 30 tahun bisa di perpanjang lagi apa namanya itu bg pintar
134,tvOneNews,Utusan Presiden Amerika Serikat Joe Biden datang ke Indonesia untuk berkunjung ke Ibu Kota Negara IKN mulai dari tanggal 68 Maret 2024 Direktur Badan Perdagangan dan Pembangunan AS USTDA Enoh T Ebong mengungkapkan setidaknya ada empat program IKN yang didanai langsung
135,tvOneNews,Amerika Serikat Sampai Turun Tangan Danai IKN Ada 4 Program
136,posaktualcom,4 Program IKN Ini Didanai oleh Amerika Serikat Apa Saja ya
137,democrazymedia,4 Program IKN Ini Didanai Oleh Amerika Serikat Apa Saja Ya
138,Muhamma45880849,Upaya pemerintah dalam Meningkatkan Stabilitas Pasokan dan Harga Beras Melalui Program SPHP harga beras
139,AsharIbnu,JOKOWI dan gerombolan nya PASLON 02 PRABOWO SAMSUL GAGAL MENGENTASKAN KEMISKINAN TIDAK PRO AMANAT PENDERITAAN RAKYAT 26 JT RAKYAT MISKIN 27 JT KURANG GIZI 3X BENCANA KELAPARAN DG PULUHAN ORANG TEWAS TAPI JOKOWI MALAH PROGRAM MKN SIANG GRATIS PINDAH IKN
140,pemkabkukar,Pemkab Kukar sangat mendukung programprogram pembangunan IKN yang saat ini sedang berjalan Selengkapnya
141,demokratkotacrb,Kami selalu bersikap rasional melihat program pemerintah menyampaikan sesuai realita tentu Mas AHY sudah lihat bagaimana situasi IKN dan progressnya sangat baik sangat puas dengan apa yang dibangun Presiden Jokowi Herman Khaeron
142,axecusme,tinggal menunggu keluhan untuk 5 tahun kedepan karena cari kerja susah biaya hidup mahal pajak naik bbm naik karena masih butuh anggaran yg banyak buat IKN dan MAKSI Gratis belum program yang lain Semangat gais
143,CrewNapp,3 Menurut Opini Pribadi saya Jakarta hari ini dibuat berantakan oleh PJ Heru yang kerjaannya hanya mengganti nama logo dan bongkar programkerja gubernur sebelumnya tujuannya agar untuk Proyek IKN menjadi benar alhasil pindah ibukota baru nntinya
144,lucentiest,destinasi kota di indonesia yg banyak jadi juga dapat menarik perhatian turis untuk mengexplore kota2 tsb 3 yang pindah ke IKN itu pemerintahan dan bisnis hanya warga dan masyarakat setempat yang memiliki privilage yang bisa hidup tentram dalam program IKN masalah urgent
145,pmoxyz,Yuk bantu program pemerintah misalnya IKN makan siang gratis dll
146,seonho1993,curiga gue anggaran KJMU buat IKN apa program munggahan sebelum puasa Eh makan siang
147,MartinusButarb1,Secara yuridis pemerintah gagal dlm program pemindahan ibu kota JokoWi gagal ttg IKN Selanjutnya tergantung pemerintah selanjutnya Terutama tergantung dana Dan hampir pasti nol besar Ketua Baleg DPR UU Berakhir DKI Tak Ada Status Sejak 15 Februari
